Question,Answer
I would like to know the price of the box of soap and lip balm.,How many pieces are you interested in producing?
I would like to know the price of the box of soap and lip balm.,Do you have a work file ready to go into production?
I would like to know the price of the box of soap and lip balm.,"The lid box is plugged into the bottom Unfolded no more than A5
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

lip box

100 bags, 20.40 baht each
500 bags, 7.40 baht each
1,000 each 4.40 baht
2,000 each 4.20 baht



The stated price does not include tax.
Does not include design and does not include shipping."
"hello
Ask for a service fee.
want to print box Unfolded no more than 500 sheets of A4 size.","hello
Please ask for nickname, phone number, email address.
to gather information and send it to make a price."
"hello
Ask for a service fee.
want to print box Unfolded no more than 500 sheets of A4 size.",Does the client have any work samples?
"hello
Ask for a service fee.
want to print box Unfolded no more than 500 sheets of A4 size.",How much do you want to produce?
"hello
Ask for a service fee.
want to print box Unfolded no more than 500 sheets of A4 size.","Normal 4-color printing, co-laying, is a job that is printed at the same time with other customers.
Didn't receive the cray about the color, no matter if it came to print the original work and the new work.
Not notified only because of this work.
Because each round Laying down the print frame is not compatible with the original letter that used to be printed.
Color +- 10-20 % = 80-85% Shades that customers have to accept 2-4 shades of work.
The work will not be 100%."
"hello
Ask for a service fee.
want to print box Unfolded no more than 500 sheets of A4 size.","The payment amount is not over 10,000 baht. Please pay the full amount."
Inquire about ordering packaging boxes.,"Hello, what kind of packaging is the customer's box?"
,How much do you want?
Inquire about ordering packaging boxes.,"The minimum, the shop will be 100 cards."
,The customer has a work file. Ready to go into production?
Inquire about ordering packaging boxes.,"The lid box is plugged into the bottom, 13*3.5*23.5 cm.
350 gram art card paper, 4 color printing
Coated with glossy laminate, die cut, glue on the side 1 point / ready to use



500 bags, 16 baht each
1,000 tickets, 10 baht each



The stated price does not include tax.
Does not include design and does not include shipping."
,"Hello, what type of box are you interested in?"
Inquire about ordering packaging boxes.,Please ask for size width * side * height cm. Can I have the product please?
,How much are you interested in producing?
Inquire about ordering packaging boxes.,Do you have a work file ready to go into production?
,"The bottom of the lid box is broken.
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side, ready to use

Herbal Refreshing Box

1,000 each 4.80 = 4,800 baht

Total 4,800+vat 7% = 5,136 baht
"
"Order a box, please.
","Hello, please ask for size width * side * height cm. Can I have the product please?"
"Order a box, please.
",How many jobs are customers interested in producing?
"Order a box, please.
",Do you have a work file ready to go into production?
"Order a box, please.
","Please ask for your name-surname, address and contact number."
"Order a box, please.
","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Laminated on the side / die-cut, glue on the side 1 point / ready to use
ORENJI Box
1,000 each 4.80 = 4,800 baht
Shipping fee 300 baht
Total 4,800+300 + at7% = 5,457 baht
"
"Hello, I'd like to order a printed soap box.","Hello, the minimum of the shop is 100 bags."
"Hello, I'd like to order a printed soap box.",Please ask for size width * side * height cm. Can I have the product please?
"Hello, I'd like to order a printed soap box.",How many copies are you interested in producing?
"Hello, I'd like to order a printed soap box.","Please ask for your name-surname, address and contact number."
"Hello, I'd like to order a printed soap box.","Sample work 1-2 days, clear file, mockup

After confirming the mockup and a specification sheet for production
  Graphic Lay and the production department issue a production order number. The production time is 7-8 days.
Will not count 1 that customers transfer money to start work "
"Hi, would like to know the price of this item please.","Hello, do you have any sizes available?"
"Hi, would like to know the price of this item please.",How much are you interested in doing?
"Hi, would like to know the price of this item please.",The minimum box work at the shop is at 100 bags.
"Hi, would like to know the price of this item please.","Please ask for your name-surname, address and contact number. Used to ask for a job price."
"Hi, would like to know the price of this item please.","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side, ready to use


100 tickets 50 baht each
200 bags, 34 baht each, digital system
********************
500 bags, 13.60 baht each, offset system
1,000 tickets 8.50 baht each
"
"Hello, let me ask you a question.
","Hello, what type of work are you interested in?"
"Hello, let me ask you a question.
",Minimum of 100 boxes.
"Hello, let me ask you a question.
",Do you have an example?
"Hello, let me ask you a question.
",How much is the customer interested in doing?
"Hello, let me ask you a question.
",Let's do it.
Please inquire about the production of wearing boxes.,"Hello, what type of work are you interested in printing?"
Please inquire about the production of wearing boxes.,What kind of box work?
Please inquire about the production of wearing boxes.,"Please ask for a nickname. Contact phone number...to collect information for sending and making a price.
"
Please inquire about the production of wearing boxes.,"box
350 gram art card paper, 4 color printing
1 point of drilling the window without clear plastic
Laminated, glossy / matt, die-cut, glued on 2-sided tape, 2 points, spliced into the box / ready to use

500 bags, 17.60 baht each
1,000 tickets 10.50 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
Please inquire about the production of wearing boxes.,"Yes, let's do it."
"Hello, I'm interested in making product boxes.","Hello, what type of product are you interested in making boxes for?"
"Hello, I'm interested in making product boxes.",Does the customer have a ready-to-produce file?
"Hello, I'm interested in making product boxes.",Please ask for size width * side * height cm. Can I have the product please?
"Hello, I'm interested in making product boxes.",How much are you interested in doing?
"Hello, I'm interested in making product boxes.","The box lid is plugged into the bottom, polished, size 10.3 * 14.5 * 16.5 cm.
350 gram art card paper, 4 color printing
Coated with glossy/matt laminate, die-cut, perforated, 1 point glued, ready to use.

500 bags, 31 baht each
1,000 each 18.34 baht
2,000 each for 12.27 baht."
Want to order a box for putting mugs,"Hello, please ask for size width * side * height cm. Can I have the product please?"
Want to order a box for putting mugs,It's a plug-in box.
Want to order a box for putting mugs,Proceed to ask for a price.
Want to order a box for putting mugs,How much are you interested in doing?
Want to order a box for putting mugs,"The bottom of the box is polished, 13.5*13.5*12 cm.
350 gram art card paper, 4 color printing
Coated with glossy laminate / die-cut side, glue on the side 1 point / ready to use

150 bags, 101.73 baht each
300 bags, 55.46 baht each
500 bags, 36.95 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I want to make a paper box similar to Old-fashioned detergent box","Hello, what kind of paper are you interested in?"
"Hello, I want to make a paper box similar to Old-fashioned detergent box",The customer has a work file. Ready to go into production?
"Hello, I want to make a paper box similar to Old-fashioned detergent box","Yes, please ask for size, width * side * height cm. Can I have the product please?"
"Hello, I want to make a paper box similar to Old-fashioned detergent box",How many copies are you interested in doing?
"Hello, I want to make a paper box similar to Old-fashioned detergent box","Box with dead lid, top + bottom
350 gram art card paper, 4 color printing
Coated with glossy laminate, die-cut, 1 point side glue / 2-sided adhesive tape, 2 floating points, ready to use.

3 types of work
3 designs, 500 each, 13.60 baht each
3 designs, 1,000 each, 8.50 baht each."
How much is the production price for 500 pieces?,What kind of box work is it?
How much is the production price for 500 pieces?,What kind of paper are you interested in?
How much is the production price for 500 pieces?,"Please ask for your name-surname, address and contact number."
How much is the production price for 500 pieces?,How much are you interested in doing?
How much is the production price for 500 pieces?,Proceed to ask for a price.
"Hello, please inquire about the production price. Paper box, gable, bang according to the design.
","Hello, the work is pang pang. The production budget starts at 48000 ++++."
"Hello, please inquire about the production price. Paper box, gable, bang according to the design.
",How many baht does the customer have in mind?
"Hello, please inquire about the production price. Paper box, gable, bang according to the design.
",Falling work. Each box is 500-600 ++ baht.
"Hello, please inquire about the production price. Paper box, gable, bang according to the design.
",Disturbed to inform the size successfully. Width x Length x Height (specify in inches) or (centimeters)
"Hello, please inquire about the production price. Paper box, gable, bang according to the design.
","Yes, proceed to request a price."
Ask for product prices.,What type of work is it?
Ask for product prices.,What kind of products do customers put it on?
Ask for product prices.,"Yes, do you have a work sample?"
Ask for product prices.,Do you have a work file ready to go into production?
Ask for product prices.,"Front Lid Box
350 gram art card paper, 4 color printing
Drill a clear plastic window on the lid 1 point.
Laminated on the side, die-cut / ready to use

5,000 each, 12.22 baht each
10,000 cards, 10.75 baht each
30,000, 9.88 baht each"
"Ask for the price of the production of the box. Unfolded no more than A4. K Gold 1 spot, amount 1500 pieces
how much?","Hello, what type of product are you interested in making boxes for?"
"Ask for the price of the production of the box. Unfolded no more than A4. K Gold 1 spot, amount 1500 pieces
how much?",Our box accepts a minimum production of 100 pieces.
"Ask for the price of the production of the box. Unfolded no more than A4. K Gold 1 spot, amount 1500 pieces
how much?",The customer has a work file. Ready to go into production?
"Ask for the price of the production of the box. Unfolded no more than A4. K Gold 1 spot, amount 1500 pieces
how much?",please inform the size width x side x height Please specify in (centimeters)
"Ask for the price of the production of the box. Unfolded no more than A4. K Gold 1 spot, amount 1500 pieces
how much?","Please give me your name, address, and contact number."
Please request a quote for packaging boxes.,What kind of packaging is the box?
Please request a quote for packaging boxes.,Please ask for size width * side * height cm. Can I have the product please?
Please request a quote for packaging boxes.,How much are you interested in doing?
Please request a quote for packaging boxes.,Minimum production order of 100 pieces.
Please request a quote for packaging boxes.,"The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Drill a window in front of the box 1 point
Coated with glossy laminate, die cut, glue on the side 1 point / ready to use

50,000 each 1.39 baht

The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I would like to inquire about food supplement packaging boxes.","Hello, please specify the size, width x side x height in cm."
"Hello, I would like to inquire about food supplement packaging boxes.",The customer has a work file. Ready to go into production?
"Hello, I would like to inquire about food supplement packaging boxes.",I'm interested in a box with a lid plugged into the bottom. What type of paper is good?
"Hello, I would like to inquire about food supplement packaging boxes.",The minimum number of works is 100 pieces. How much are you interested in doing?
"Hello, I would like to inquire about food supplement packaging boxes.","The lid box is plugged into the bottom, 11-4.5*15 cm.
350 gram art card paper, 4+1 special color printing
Matte Lamination /Buy spot UV, die cut, glue on the side, 1 point, ready to use

3,000 each, 10.12 baht each
5,000 bags, 7.79 baht each
10,000 each for 6.31 baht."
Ask for the price of the box.,"Hello, what kind of box work are you interested in? Is there a sample image?"
,Please ask for size width * side * height cm. Can I have the product please?
Ask for the price of the box.,How much are you interested in doing?
,The minimum order for production is 100 pieces.
Ask for the price of the box.,Proceed to ask for a price.
,What is the shape of the customer's product?
Ask for the price of the box.,Do you want a box with a lot?
,Please inform the finished size of the box for me.
Ask for the price of the box.,Does the client have any work files yet?
,Finished box work. We do not have it for sale. It's a new production.
Inquire about this scented candle box.,Recommended minimum starting at 500 cards.
Inquire about this scented candle box.,How much is the customer interested in ordering to produce?
Inquire about this scented candle box.,Is there a clear plastic hole in the window?
Inquire about this scented candle box.,Does the customer have a file ready to start work?
Do you have a ready-made box? / Need a ready-made box / What is the size of the box?,Please ask for your name and phone number to collect information.
How much is the minimum window penetration for a box like this?,"Hello, what type of production are you interested in?"
How much is the minimum window penetration for a box like this?,"Please ask for a nickname. Contact number...
to collect information for sending and making a price
"
How much is the minimum window penetration for a box like this?,What type of paper are you interested in?
How much is the minimum window penetration for a box like this?,How much do you want to produce? Our minimum is 100 pieces.
How much is the minimum window penetration for a box like this?,Let's do it.
Ask for production price.,"Hello, please inform the size width * depth * height cm."
Ask for production price.,"Hello, what type of product boxes are you interested in making?"
Ask for production price.,Please ask for size width * side * height cm. Can I have the product please?
Ask for production price.,The customer has a work file. Ready to go into production?
Ask for production price.,How much are you interested in doing?
I want to produce a soap box.,Proceed to ask for a price.
"Hello, please email me. I would like to send a box for a price quote.",I don't know what kind of box it is.
"Hello, please email me. I would like to send a box for a price quote.",What is the packaged product?
"Hello, please email me. I would like to send a box for a price quote.","Accepting production, customers."
"Hello, please email me. I would like to send a box for a price quote.",Please ask for the finished size of the box.
"Hello, please email me. I would like to send a box for a price quote.",Interested in a box with a lid plugged in butt plugged Or the bottom cap is polished
What is the minimum number of production boxes? / Is there a minimum amount of production?,The customer has a work file. Ready to produce?
What is the minimum number of production boxes? / Is there a minimum amount of production?,How much is the customer interested in producing?
Would you like to order 100 coffee boxes?,Do you want to add any special effects?
Would you like to order 100 coffee boxes?,Does the customer have a design or a face of the work?
Would you like to order 100 coffee boxes?,Is it convenient to send the work file to check the color?
Would you like to order 100 coffee boxes?,"If the customer is serious about the color, it is recommended to make a special color."
"Hello, cream box size 29.5??22cm","Hello, the minimum we produce is 100 pieces."
"Hello, cream box size 29.5??22cm",What kind of product box are you interested in?
"Hello, cream box size 29.5??22cm",Do you have a work file ready to go into production?
"Hello, cream box size 29.5??22cm",Please ask for size width * side * height cm. Can I have the product please? to request a price
"Hello, cream box size 29.5??22cm",How much are you interested in doing?
"Hello, I would like to ask, what is the minimum order quantity?","Hello, please ask for size width * side * height cm. Can I have the product please?"
,Do you have a work file ready to go into production?
"Hello, I would like to ask, what is the minimum order quantity?",How much are you interested in doing?
,"Hello, what kind of open box does the customer want?"
"Hello, I would like to ask, what is the minimum order quantity?",Please ask for a picture of the sample box that you want.
,What is the product inside?
"Hello, I would like to ask, what is the minimum order quantity?",Would you like to add a product locker?
,How much do you receive?
"Hello, I would like to ask, what is the minimum order quantity?","What type of production are customers interested in? Our services
- Production of soap boxes, cream boxes, cosmetic boxes, food supplements, etc.
Does the customer have a box format that they want?
How much do you want to order?
Is there a finished size of the box or an unfolded size?
Accepting production. Customers are interested in making. How much?
Do you have a work file or a ready template?
Interested in adding a separator inside?
Do you want to pierce a window to see the product inside?
When do customers use it? Selling or as a gift
The cost of designing boxes for production starts at 1500-3000 baht."
hello,Does the customer have a box format that they want?
hello,How much do you want to order?
hello,Is there a finished size of the box or an unfolded size?
I love this pen box.,Accepting production. Customers are interested in making. How much?
I love this pen box.,Do you have a work file or a ready template?
I love this pen box.,Interested in adding a separator inside?
I love this pen box.,Do you want to pierce a window to see the product inside?
I love this pen box.,When do customers use it? Selling or as a gift
How much is the design fee? / How is the design fee? / How much is the design fee?,The cost of designing boxes for production starts at 1500-3000 baht.
How much is the design fee? / How is the design fee? / How much is the design fee?,"Logo design fee 1,500 baht, can be edited 3 times, provide AI file / per 1 design
Box design fee 1,500-3,000 baht, can be adjusted 3 times, reserves the right not to give the file. It is a design for production / per 1 model."
How much is the design fee? / How is the design fee? / How much is the design fee?,"If you want a work file, there is an additional cost."
I want to know the details and price of the sunscreen box. What's the minimum?,"The lid box starts at 100 pieces.
If you add a special technique, I recommend 50 cards."
I want to know the details and price of the sunscreen box. What's the minimum?,"Hello, what kind of product is inside? Is it a jar or a tube?"
I want to know the details and price of the sunscreen box. What's the minimum?,Need a box that fits or has a product lock?
I want to know the details and price of the sunscreen box. What's the minimum?,How much do you want to order?
I want to know the details and price of the sunscreen box. What's the minimum?,Do you have a ready-to-produce file?
"Web page promotion box, 5 baht each, is it still there?","still available, customers"
"Web page promotion box, 5 baht each, is it still there?","The promotion on the web page will be an event that will be inserted into the butt, unfolded, not more than A4, 1000 boxes."
"Web page promotion box, 5 baht each, is it still there?",Does the customer have a work file?
"Web page promotion box, 5 baht each, is it still there?",Are you interested in getting 1000 tickets to get a promotion on the web page?
Where is the company? Interested in a soap box?,The factory is in Bangkok.
Where is the company? Interested in a soap box?,Does the customer have a work file or a box yet?
Where is the company? Interested in a soap box?,We accept production and design as well.
Where is the company? Interested in a soap box?,"Initially, I would like to know the finished size to make a price."
Where is the company? Interested in a soap box?,How much does the customer receive?
"Good value, interested in making a lipstick box, about 500 pieces, what's the price rate?","Hello, customer, do you have a work file or a picture of a sample work?"
,"Please ask for your name-surname, address and contact number."
"Good value, interested in making a lipstick box, about 500 pieces, what's the price rate?",Please ask for size width * side * height cm. Can I have the product please?
,How many boxes are you interested in doing?
"Good value, interested in making a lipstick box, about 500 pieces, what's the price rate?","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
,"Hello, what kind of box work is it?"
"Good value, interested in making a lipstick box, about 500 pieces, what's the price rate?",The minimum production is 100 pieces.
,Please send the size of width * side * height cm. Can I have a box that the customer will make too?
"Good value, interested in making a lipstick box, about 500 pieces, what's the price rate?","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Laminated, shiny / die-cut, glue on the side 1 point.
500 bags, 8.00 baht each. This price does not include tax, design fee and shipping.
Hello, please specify the size, width x side x height in cm.
Give me a nickname. Contact number... to collect information for sending and making a price"
Please inquire about the price Slide box.,"Hello, what type of work are you interested in printing?"
,Is there a work file ready to go into production?
Please inquire about the price Slide box.,Please ask for size width * side * height cm. Can I have the product please? in order to make the price right
,"Please include your name, address, contact number."
Please inquire about the price Slide box.,Proceed to ask for a price.
,"Hello, what is the size of the box? Width*side*height cm."
Please inquire about the price Slide box.,How much do you want to produce?
,What type of paper work is good?
Please inquire about the price Slide box.,"The lid box is plugged into the bottom Unfolded no more than A4 7*1*11 cm.
350 gram art card paper, 4 color printing, rainbow pattern
Coated with glossy laminate, die cut, glue on the side 1 point / ready to use

1,500 each, 8.80 baht each

The design fee is 1500 baht. This price does not include the design file.

Delivery fee for Bangkok and other provinces is 300 baht for a pack of 1-2 boxes.

The stated price does not include tax.
and shipping is not included."
"Please request a quotation for A5 printing, front and back, 4 colors, 4 designs, 1,000 sheets each.","Hello, please specify the size, width x side x height in cm."
"Please request a quotation for A5 printing, front and back, 4 colors, 4 designs, 1,000 sheets each.","Please include your name, address, contact number. for use in requesting a price"
"Please request a quotation for A5 printing, front and back, 4 colors, 4 designs, 1,000 sheets each.",Is there a work file ready to go into production?
"Please request a quotation for A5 printing, front and back, 4 colors, 4 designs, 1,000 sheets each.","Yes, it's a box with a plug-in lid. How much do you want to produce?"
"Please request a quotation for A5 printing, front and back, 4 colors, 4 designs, 1,000 sheets each.","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Laminated on the side, die-cut, glued on the side 1 point / ready to use

2000 each 9.51 baht
4000 each, 6.29 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
"Manufacture of pill boxes, unfolded boxes of not more than A4 size, plug-in lid type","Hello, it's a box with envelopes again, right? How many envelopes in 1 box?"
"Manufacture of pill boxes, unfolded boxes of not more than A4 size, plug-in lid type",Please ask for size width * side * height cm. Can I have a box please?
"Manufacture of pill boxes, unfolded boxes of not more than A4 size, plug-in lid type","Please include your name, address, contact number."
"Manufacture of pill boxes, unfolded boxes of not more than A4 size, plug-in lid type",Specify the quantity you want to order.
"Manufacture of pill boxes, unfolded boxes of not more than A4 size, plug-in lid type",Design fee is 1500 baht / design. This price will not be Design file.
"Hello, please ask for the price. Cosmetic boxes, 2,000 boxes and 4,000 boxes","Hello, customers, please send the size of Width*side*height*cm. give me"
"Hello, please ask for the price. Cosmetic boxes, 2,000 boxes and 4,000 boxes",What type of paper are you interested in?
"Hello, please ask for the price. Cosmetic boxes, 2,000 boxes and 4,000 boxes",The minimum production is 100 pieces.
"Hello, please ask for the price. Cosmetic boxes, 2,000 boxes and 4,000 boxes",How much is the customer interested in doing?
"Hello, please ask for the price. Cosmetic boxes, 2,000 boxes and 4,000 boxes","Book page opening cover
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

500 each for 25 baht
1,000 each for 9.90 baht"
"I'm interested in helping me design a coffee and cocoa box.
","Hello, our factory doesn't have a finished size."
"I'm interested in helping me design a coffee and cocoa box.
",bothering customers to specify the size Width*side*height cm. Can you give it to me?
"I'm interested in helping me design a coffee and cocoa box.
",What type of paper are you interested in?
"I'm interested in helping me design a coffee and cocoa box.
",How much is the customer interested in doing? Our minimum order is 100 cards.
"I'm interested in helping me design a coffee and cocoa box.
","Bakery Box
350 gram art card paper, 1 page, 4+1 special color printing
Drill a window attached to clear plastic in front of the box 1 point
Laminated on both sides, die cut / ready to use
1,000 tickets 31.62 each
2,000 each 23.42
3,000 each 20.51

The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, please ask. I want to make a soap box","Hello, what kind of boxes are you interested in printing?"
"Hello, please ask. I want to make a soap box",Please ask...nickname contact number to collect information for sending and making a price
"Hello, please ask. I want to make a soap box",What kind of paper do customers want?
"Hello, please ask. I want to make a soap box","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side
"
"Hello, please ask. I want to make a soap box","Yes, please proceed to ask for a price for a moment."
"Hello, would like to quote the price of the candy box please.","Hello, what type of work are you interested in producing?"
"Hello, would like to quote the price of the candy box please.",Box work. The lid is plugged into the bottom. Please ask for size width * side * height cm. Please.
"Hello, would like to quote the price of the candy box please.",What kind of paper work is it?
"Hello, would like to quote the price of the candy box please.","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
1 clear plastic window mounting point
Coated with gloss/matte laminate, die-cut, hand glued 1 point, ready to use.

3,000 each 5.40 baht

The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, would like to quote the price of the candy box please.",Please consider the price. Thank you.
"Interested in making product boxes Finished box size 3x10x11 cm, amount 1,000 boxes/5,000 boxes
","Hello, please specify the size, width x side x height in cm."
"Interested in making product boxes Finished box size 3x10x11 cm, amount 1,000 boxes/5,000 boxes
",The minimum production is 100 pieces.
"Interested in making product boxes Finished box size 3x10x11 cm, amount 1,000 boxes/5,000 boxes
",How much are you interested in doing?
"Interested in making product boxes Finished box size 3x10x11 cm, amount 1,000 boxes/5,000 boxes
","Please ask for your name-surname, address and contact number."
"Interested in making product boxes Finished box size 3x10x11 cm, amount 1,000 boxes/5,000 boxes
","The bottom box is polished.
300 gram art card paper, 1 page
4 color printing / offset
1-sided glossy laminate coating
Die cut, perforated, injected / glued / ready to use

10,000 each 9.12 baht
20,000, 8.58 baht each

Please consider the price."
"Ask for 1000 tickets.
","Hello, can you please send me a sample."
"Ask for 1000 tickets.
",please specify size Width*side*height cm.
"Ask for 1000 tickets.
",How much are you interested in doing?
"Ask for 1000 tickets.
","The lid box is plugged into the bottom, 6*1.5*8 cm.
350 gram art card paper, 4 color printing
1-sided glossy laminate coating / embossed stamping 3 points, die-cut, glued on the side 1 point / ready to use

5,000 cards, 4.58 baht each
10,800 tickets, 2.55 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Ask for 1000 tickets.
",Please consider the price. Thank you.
I would like to inquire about the production of hygienic mask boxes. Is there a minimum rate of how many boxes to produce?,"Hello, what kind of box work is it?"
I would like to inquire about the production of hygienic mask boxes. Is there a minimum rate of how many boxes to produce?,"Please include your name, address, contact number."
I would like to inquire about the production of hygienic mask boxes. Is there a minimum rate of how many boxes to produce?,please specify size Width*side*height cm.
I would like to inquire about the production of hygienic mask boxes. Is there a minimum rate of how many boxes to produce?,How much do you want to produce?
I would like to inquire about the production of hygienic mask boxes. Is there a minimum rate of how many boxes to produce?,"The lid box is plugged into the bottom, size 19*6*24 cm.
350 gram art card paper, 4 color printing
1 clear plastic window pierced
Coated with glossy laminate / die-cut side, glue on the side 1 point / ready to use

300 bags, 53.05 baht each
500 bags, 34.64 baht each
1000 bags, 19.07 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Interested in producing a box, but already have a pattern?","Hello, what type of boxes are you interested in producing?"
"Interested in producing a box, but already have a pattern?",please specify size Width*side*height cm. Give it to me too.
"Interested in producing a box, but already have a pattern?",We accept a minimum production of 100 pieces.
"Hello, do you accept printed boxes?","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


HOMEO SPRAY box 3,000 each 4.40 = 13,200 baht

The delivery fee is 400 baht for a pack of 2-3 boxes."
"Hello, do you accept printed boxes?","Yes, do it for a moment."
"Ask for box production
","Hello, what kind of boxes do you produce?"
"Ask for box production
",What kind of products do you use?
"Ask for box production
",The box is unfolded no more than A4.
"Ask for box production
","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Laminated, shiny / die-cut, glue on the side 1 point.
500 bags, 10.40 baht each"
"Ask for box production
","1,000 tickets 6.50 baht each"
"Hello, I would like to inquire about the price of a sunscreen box, size 15 grams.","Please consider the price, thank you."
"Hello, I would like to inquire about the price of a sunscreen box, size 15 grams.","Hello, what type of paper are you interested in?"
"Hello, I would like to inquire about the price of a sunscreen box, size 15 grams.",Is there a work file ready to go into production?
"Hello, I would like to inquire about the price of a sunscreen box, size 15 grams.",Please ask for size width * side * height cm. Can I have a box please?
"Hello, I would like to inquire about the price of a sunscreen box, size 15 grams.",It's a plug-in box. The size unfolded is no more than A4.
"Hello, what is the cost for printing 1,000 express boxes?
Normal soap box 6*6*3 cm = 1,000 pieces

and a spray box 10*3*3 cm = 1,000 pieces
","Hello, I don't know what day the customer uses it."
"Hello, what is the cost for printing 1,000 express boxes?
Normal soap box 6*6*3 cm = 1,000 pieces

and a spray box 10*3*3 cm = 1,000 pieces
",Is there a file available?
Request an email to send files.,"rigidboxs.info@gmail.com, customers."
"Contact to make a soap box, amount 1500 pieces, soap size 80 grams.","Hello, what kind of box is it?"
"Contact to make a soap box, amount 1500 pieces, soap size 80 grams.","Please include your name, address, contact number, and request a price."
"Contact to make a soap box, amount 1500 pieces, soap size 80 grams.",please specify size Width*side*height cm. Give it to me too.
"Contact to make a soap box, amount 1500 pieces, soap size 80 grams.",What kind of paper do you get?
"Contact to make a soap box, amount 1500 pieces, soap size 80 grams.","Payment amount over 15,000 baht. Free delivery. Transport company in Bangkok. Perimeter."
Interested in the carrying case,"Hello, do you have a sample of your work?"
Interested in the carrying case,Customer disturbed to ask for size. Width*side*height cm.
Interested in the carrying case,Interested in 350 gram kraft paper?
Interested in the carrying case,Do you have a work file ready to go into production?
Interested in the carrying case,How much are you interested in doing?
"Hello, I'm interested in producing perfume boxes.",What kind of box is it?
"Hello, I'm interested in producing perfume boxes.",The shop doesn't have a finished size box. Please ask for size width * side * height cm. Can I have a box that will be produced too?
"Hello, I'm interested in producing perfume boxes.","Please ask for name-surname, address, phone number."
"Hello, I'm interested in producing perfume boxes.",How much is the customer interested in producing?
"Hello, I'm interested in producing perfume boxes.",Do you have a work file ready to go into production?
"How much is a box of 1000 pieces, size 12*9*3?","Hello, what kind of box is it?"
,What kind of product do you put?
"How much is a box of 1000 pieces, size 12*9*3?",Do you have a work sample? Or do you have to design?
,Do you pierce the window with clear plastic?
"How much is a box of 1000 pieces, size 12*9*3?",Proceed to ask for a price for a moment.
,"Hello, what kind of box is it?"
"How much is a box of 1000 pieces, size 12*9*3?",Please ask...nickname Contact number... to collect information for sending and making a price
,Please specify the size width x side x height cm. and specify the quantity you want to order.
"How much is a box of 1000 pieces, size 12*9*3?",The lid is plugged into the bottom of the normal plug. Please ask for the price for a moment.
,Please consider the price. Thank you.
"Hello, I'm interested in producing wedding favor boxes.","Hello, what kind of box is it?"
"Hello, I'm interested in producing wedding favor boxes.","The design fee will be 1,500 baht per design."
"Hello, I'm interested in producing wedding favor boxes.",Customer disturbed to ask for size. Width*side*height cm.
"Hello, I'm interested in producing wedding favor boxes.",How much are you interested in doing?
"Hello, I'm interested in producing wedding favor boxes.","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each
The stated price does not include tax.
Does not include design and does not include shipping."
"Interested in the production of design boxes
","Hello, what type of work are you interested in printing?"
"Interested in the production of design boxes
","Production of soap boxes, cream boxes, cosmetic boxes, set boxes, etc."
"Interested in the production of design boxes
",What kind of paper is the work?
"Interested in the production of design boxes
",Please ask...nickname Contact phone number...to collect information for sending and making a price. Thank you.
"Interested in the production of design boxes
",Proceed to ask for a price for a moment.
"Hello, I'm interested in making a box.",plug-in lid box Unfolded no more than A4.
"Hello, I'm interested in making a box.","If there is a product lock, top-bottom + add 1000, 2000 baht per point"
"Hello, I'm interested in making a box.","Design fee 1500 baht/design, at this price the customer will not get Design file."
"Hello, I'm interested in making a box.","Delivery fee for work in Bangkok, provinces, provinces, 300 baht"
